"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"197","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","3.14%","141.19","1,82,17,115"
"76","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","2.4%","1548.1","11,65,867"
"42","Kei Industries Limited","KEI","P&F | F.A","2.37%","3070.15","58,60,362"
"69","Hdfc Bank Limited","HDFCBANK","P&F | F.A","1.86%","1732.4","2,72,58,364"
"132","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","1.73%","617.3","2,37,71,834"
"137","AU Small Finance Bank","AUBANK","P&F | F.A","1.62%","565.7","52,85,029"
"157","Coal India Limited","COALINDIA","P&F | F.A","1.51%","369.35","2,18,99,478"
"148","Jsw Energy Limited","JSWENERGY","P&F | F.A","1.16%","464.1","69,30,904"
"22","Trent Limited","TRENT","P&F | F.A","0.96%","4851.55","21,78,604"
"7","Dixon Technologies","DIXON","P&F | F.A","0.81%","13935.85","8,51,848"
"31","Interglobe Aviation Limited","INDIGO","P&F | F.A","0.76%","4477.3","21,26,278"
"26","Alkem Laboratories Limited","ALKEM","P&F | F.A","0.73%","4646.2","5,27,520"
"24","Polycab India Ltd","POLYCAB","P&F | F.A","0.72%","4713.4","60,42,777"
"63","Lupin Limited","LUPIN","P&F | F.A","0.72%","1904.65","13,21,909"
"87","Voltas Limited","VOLTAS","P&F | F.A","0.57%","1320.1","80,31,830"
"127","Hindalco Industries Limited","HINDALCO","P&F | F.A","0.38%","634.35","1,30,41,185"
"213","GMR Airports Ltd","GMRAIRPORT","P&F | F.A","0.26%","69.47","2,23,02,860"
"43","Pi Industries Limited","PIIND","P&F | F.A","0.05%","3013.95","6,27,755"
"80","Apl Apollo Tubes Limited","APLAPOLLO","P&F | F.A","0.05%","1438.95","12,53,631"
"176","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","-0.06%","242.15","30,51,149"
"117","Life Insurance Corporation of India","LICI","P&F | F.A","-0.08%","740.5","16,58,144"
"103","Axis Bank Limited","AXISBANK","P&F | F.A","-0.11%","1015.55","1,50,26,849"
"10","Solar Industries India Limited","SOLARINDS","P&F | F.A","-0.15%","8710.6","1,57,759"
"62","Godrej Properties Limited","GODREJPROP","P&F | F.A","-0.15%","1936.3","22,43,350"
"1","Mrf Limited","MRF","P&F | F.A","-0.33%","105373.7","8,766"
"67","Acc Limited","ACC","P&F | F.A","-0.37%","1818.55","2,60,128"
"94","Reliance Industries Limited","RELIANCE","P&F | F.A","-0.58%","1200.1","2,30,07,298"
"170","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","-0.58%","281.3","21,30,052"
"70","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-0.6%","1690.95","12,24,364"
"187","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-0.61%","177.62","56,14,981"
"196","Indian Energy Exchange Ltd","IEX","P&F | F.A","-0.64%","155.93","1,74,38,779"
"112","Jindal Steel & Power Limited","JINDALSTEL","P&F | F.A","-0.68%","856.15","77,14,704"
"97","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","-0.7%","1126.6","19,06,279"
"61","Adani Enterprises Limited","ADANIENT","P&F | F.A","-0.71%","2096","23,73,922"
"48","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-0.72%","2657.9","4,95,197"
"98","Dr. Reddy's Laboratories Limited","DRREDDY","P&F | F.A","-0.8%","1116.5","38,95,033"
"2","BANKNIFTY","BANKNIFTY","P&F | F.A","-0.82%","48344.7","0"
"193","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","-0.85%","156.33","60,53,279"
"100","Adani Ports And Special Economic Zone Limited","ADANIPORTS","P&F | F.A","-0.89%","1069.4","28,49,138"
"205","Steel Authority Of India Limited","SAIL","P&F | F.A","-0.91%","105.02","2,70,74,952"
"188","National Aluminium Company Limited","NATIONALUM","P&F | F.A","-0.98%","177.6","1,26,48,002"
"147","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","-1.03%","464.95","35,02,159"
"5","Bosch Limited","BOSCHLTD","P&F | F.A","-1.04%","26544","30,508"
