"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"136","Data Patterns (India) Ltd","DATAPATTNS","P&F | F.A","14.58%","1628.25","1,15,15,983"
"291","Triveni Turbine Limited","TRITURBINE","P&F | F.A","14.51%","613.5","2,08,32,897"
"430","Inox Wind Limited","INOXWIND","P&F | F.A","11.46%","170.75","7,01,23,870"
"241","Shyam Metalics & Energy Ltd","SHYAMMETL","P&F | F.A","8.69%","824.2","19,86,889"
"451","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","8.37%","136.6","2,47,09,113"
"319","Anant Raj Limited","ANANTRAJ","P&F | F.A","7.97%","501.2","44,93,921"
"158","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","6.78%","1385.15","41,53,076"
"28","Apar Industries Limited","APARINDS","P&F | F.A","6.71%","6106.6","3,33,555"
"187","Bharat Dynamics Ltd","BDL","P&F | F.A","6.53%","1135.2","31,64,621"
"341","Aadhar Housing Finance Ltd","AADHARHFC","P&F | F.A","6.45%","426.7","11,58,243"
"268","KSB Ltd","KSB","P&F | F.A","6.23%","685.9","6,41,432"
"213","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","6.04%","966.7","16,84,062"
"464","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","5.9%","103.97","2,20,39,380"
"482","Suzlon Energy Limited","SUZLON","P&F | F.A","5.41%","54.92","10,68,55,231"
"250","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","5.34%","759","57,29,872"
"396","Iti Limited","ITI","P&F | F.A","5%","267.18","2,63,651"
"53","Kaynes Technology India Ltd","KAYNES","P&F | F.A","4.89%","4457.05","8,86,317"
"195","SignatureGlobal India Ltd","SIGNATURE","P&F | F.A","4.65%","1062.2","6,23,034"
"222","KFin Technologies Ltd","KFINTECH","P&F | F.A","4.57%","929.55","19,98,432"
"46","Basf India Limited","BASF","P&F | F.A","4.36%","4781.7","51,518"
"182","Lloyds Metals & Energy Ltd","LLOYDSME","P&F | F.A","4.36%","1151.7","8,14,016"
"452","D B Realty Limited","DBREALTY","P&F | F.A","4.34%","133.82","40,43,529"
"96","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","4.27%","2338.2","46,54,555"
"267","Jubilant Ingrevia Ltd","JUBLINGREA","P&F | F.A","4.23%","686.15","8,82,421"
"235","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","4.1%","844.65","2,41,232"
"228","The Great Eastern Shipping Company Limited","GESHIP","P&F | F.A","3.89%","906.5","4,04,534"
"287","Can Fin Homes Limited","CANFINHOME","P&F | F.A","3.86%","629.6","6,08,823"
